slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
bangladesh,All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/bangladesh.htm,,None,Apsana Begum MP,2025-12-18 00:00:00
bbc,All-Party Parliamentary Group for the BBC,"To encourage debate and engage discussion about all elements of the Corporation's work, including the BBC World Service and the BBC’s role within the creative industries.","Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/bbc.htm,BBC acts as the group's secretariat.https://www.bbc.co.uk/,None,Jeff Smith MP,2026-02-10 00:00:00
beauty-and-wellbeing,All-Party Parliamentary Group Beauty and Wellbeing,"The group seeks to spotlight and raise the reputation of the beauty industry by investigating and exploring key issues that impact the sectors within it. By highlighting these issues, the group aims to underscore the importance of tackling misinformation, and the economic and social benefits to the UK.","Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/beauty-and-wellbeing.htm,British Beauty Council acts as the group's secretariat.https://britishbeautycouncil.com/,https://www.baw-appg.co.uk/,Carolyn Harris MP,2025-04-02 00:00:00
beer,All-Party Parliamentary Beer Group,"To promote understanding of the significant contribution of brewing and pubs to the UK economy and wider society, including their economic, social, cultural and historic importance, contribution to tourism, the social responsibility exercised by the sector, and also supporting the UK's brewing and pub sectors worldwide.","Economy, Business & Industry|Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/beer.htm,Ocklynge Consulting Ltd acts as the group's secretariat.,https://www.appgbeer.uk/,Tonia Antoniazzi MP,2025-10-21 00:00:00
bees-pollinators-and-invertebrates,"All-Party Parliamentary Group on Bees, Pollinators, and Invertebrates","To raise awareness of insect science in Parliament and understand the effects of insect decline on the natural world. To raise awareness of the issues surrounding invertebrates and pollinators, promote their importance for the national economy and natural environment, and highlight pathways to both conservation and growth of insect and pollinator populations.","Environment, Climate & Sustainability",https://publications.parliament.uk/pa/cm/cmallparty/260223/bees-pollinators-and-invertebrates.htm,Royal Entomological Society acts as the group's secretariat.https://www.royensoc.co.uk/,https://www.royensoc.co.uk/beepollinvertappg/,Barry Gardiner MP,2025-06-24 00:00:00
belarus,All-Party Parliamentary Group for Freedom and Democracy in Belarus,"To raise awareness, provide support, and advocate for those fighting for freedom and democracy in Belarus.",Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/belarus.htm,,None,Wendy Morton MP,2025-03-19 00:00:00
better-roads,All-Party Parliamentary Group for Better Roads,To bring together MPs and Peers with an interest in road conditions and road maintenance.,"Infrastructure, Transport & Mobility",https://publications.parliament.uk/pa/cm/cmallparty/260223/better-roads.htm,Mineral Products Association acts as the group's secretariat.https://www.mineralproducts.org/,https://www.appg-betterroads.org/,Rebecca Paul MP,2025-06-02 00:00:00
beyond-pills,Beyond Pills All-Party Parliamentary Group,"To move UK healthcare beyond an over-reliance on pills by combining social prescribing, lifestyle medicine, psychosocial interventions and safe deprescribing. As well as reducing unnecessary and inappropriate prescribing, this integrated approach will improve outcomes and reduce health inequalities","Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/beyond-pills.htm,Beyond Pills Alliance acts as the group's secretariat.https://beyondpillsalliance.org,https://beyondpillsappg.org/,Dr Simon Opher MP,2025-11-19 00:00:00
birth-trauma,All-Party Parliamentary Group on Birth Trauma,The Birth Trauma APPG raises awareness of the experiences of parents who have experienced physical and psychological harm from childbirth.,"Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/birth-trauma.htm,,None,Rosie Duffield MP,2025-05-13 00:00:00
black-health,All-Party Parliamentary Group on Black Health,"To create a forum to raise political awareness of stark health inequalities disproportionately impacting Black Caribbean and African people in the UK, and to advocate for actions to reduce health inequalities. To stimulate dialogue, drive evidence-based research, policy development, and promote equitable healthcare access and outcomes through influencing policy and practice.","Health, Medicine & Public Health|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/black-health.htm,Caribbean & African Health Network acts as the group's secretariat.https://www.cahn.org.uk/,http://www.appgblackhealth.uk/,Paulette Hamilton MP,2025-01-22 00:00:00
black-maternal-health,All-Party Parliamentary Group for Black Maternal Health,"As highlighted in the 2025 MBRRACE-UK report, Black women remain up to four times more likely to die in childbirth. This APPG aims to raise awareness of this racial disparity in maternal healthcare and offer actionable solutions to ensure safer, more equitable outcomes to end this.","Health, Medicine & Public Health|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/black-maternal-health.htm,Five X More acts as the group's secretariat.https://fivexmore.org/,https://linktr.ee/bmh_appg,Bell Ribeiro-Addy MP,2025-07-21 00:00:00
